id,category,qualifiedName,file_path,not_aosp,old_aosp,isIntrusive,intrusiveModify,refactor
120289,Variable,android.nfc.cardemulation.AidGroup.aids,core/java/android/nfc/cardemulation/AidGroup.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120290,Variable,android.nfc.cardemulation.AidGroup.category,core/java/android/nfc/cardemulation/AidGroup.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120291,Variable,android.nfc.cardemulation.AidGroup.description,core/java/android/nfc/cardemulation/AidGroup.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120339,Variable,android.nfc.cardemulation.ApduServiceInfo.mService,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120340,Variable,android.nfc.cardemulation.ApduServiceInfo.mDescription,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120341,Variable,android.nfc.cardemulation.ApduServiceInfo.mOnHost,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120344,Variable,android.nfc.cardemulation.ApduServiceInfo.mStaticAidGroups,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120345,Variable,android.nfc.cardemulation.ApduServiceInfo.mDynamicAidGroups,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120346,Variable,android.nfc.cardemulation.ApduServiceInfo.mRequiresDeviceUnlock,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120347,Variable,android.nfc.cardemulation.ApduServiceInfo.mBannerResourceId,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120348,Variable,android.nfc.cardemulation.ApduServiceInfo.mUid,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120349,Variable,android.nfc.cardemulation.ApduServiceInfo.mSettingsActivityName,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
280480,Method,com.android.internal.widget.LockPatternUtils.getBoolean,core/java/com/android/internal/widget/LockPatternUtils.java,0,-1,1,"{'access_modify': 'private-protected', 'method_body_modify': '-'}",[]
280485,Method,com.android.internal.widget.LockPatternUtils.setBoolean,core/java/com/android/internal/widget/LockPatternUtils.java,0,-1,1,"{'access_modify': 'private-protected', 'method_body_modify': '-'}",[]
280490,Method,com.android.internal.widget.LockPatternUtils.getLong,core/java/com/android/internal/widget/LockPatternUtils.java,0,-1,1,"{'access_modify': 'private-protected', 'method_body_modify': '-'}",[]
280495,Method,com.android.internal.widget.LockPatternUtils.setLong,core/java/com/android/internal/widget/LockPatternUtils.java,0,-1,1,"{'access_modify': 'private-protected', 'method_body_modify': '-'}",[]
280500,Method,com.android.internal.widget.LockPatternUtils.getString,core/java/com/android/internal/widget/LockPatternUtils.java,0,-1,1,"{'access_modify': 'private-protected', 'method_body_modify': '-'}",[]
280504,Method,com.android.internal.widget.LockPatternUtils.setString,core/java/com/android/internal/widget/LockPatternUtils.java,0,-1,1,"{'access_modify': 'private-protected', 'method_body_modify': '-'}",[]
280741,Variable,com.android.internal.widget.LockPatternView.Cell.sCells,core/java/com/android/internal/widget/LockPatternView.java,0,-1,1,"{'access_modify': 'private-null', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
631934,Method,com.android.systemui.qs.SecureSetting.SecureSetting,packages/SystemUI/src/com/android/systemui/qs/SecureSetting.java,0,-1,1,"{'access_modify': 'public-protected', 'method_body_modify': '-'}",[]
636420,Method,com.android.systemui.screenshot.ScreenshotSelectorView.resizeSelection,packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotSelectorView.java,0,-1,1,"{'access_modify': 'public-private', 'method_body_modify': '-'}","[{'type': 'Rename Method', 'source_name': 'com.android.systemui.screenshot.ScreenshotSelectorView.updateSelection', 'source_param': 'x y'}]"
657865,Variable,com.android.systemui.statusbar.phone.NavigationHandle.mPaint,packages/SystemUI/src/com/android/systemui/statusbar/phone/NavigationHandle.java,0,-1,1,"{'access_modify': 'protected-private', 'class_var_modify': '-'}",[]
657868,Variable,com.android.systemui.statusbar.phone.NavigationHandle.mRadius,packages/SystemUI/src/com/android/systemui/statusbar/phone/NavigationHandle.java,0,-1,1,"{'access_modify': 'protected-private', 'class_var_modify': '-'}",[]
657869,Variable,com.android.systemui.statusbar.phone.NavigationHandle.mBottom,packages/SystemUI/src/com/android/systemui/statusbar/phone/NavigationHandle.java,0,-1,1,"{'access_modify': 'protected-private', 'class_var_modify': '-'}",[]
665303,Method,com.android.systemui.statusbar.policy.Clock.shouldBeVisible,packages/SystemUI/src/com/android/systemui/statusbar/policy/Clock.java,0,-1,1,"{'access_modify': 'private-public', 'method_body_modify': '-'}",[]
748288,Method,com.android.server.biometrics.BiometricServiceBase.isKeyguard,services/core/java/com/android/server/biometrics/BiometricServiceBase.java,0,-1,1,"{'access_modify': 'private-protected', 'method_body_modify': '-'}",[]
